0	0.10	0.12	0.11	0.12	0.12	0.12	0.15	0.16	0.11	0.11	0.11
0	0.10	0.12	0.12	0.13	0.13	0.14	0.16	0.17	0.16	0.17	0.22
0	0.11	0.13	0.14	0.15	0.17	0.19	0.22	0.22	0.33	0.38	0.38
0	0.12	0.14	0.17	0.22	0.28	0.44	0.49	0.6	0.88	1.1	1.4
0 	0.14	0.18	0.27	0.43	0.67	1.15	1.65	2.3	3.8	5.8	6.1
0	0.16	0.27	0.57	1.13	2.21	4.30	6.87	11.9	13.7	31.2	28.6
0	0.19	0.48	1.37	3.36	7.56	16.7	28.9	49.3	82.2	124.6	180
0	0.25	0.96	3.58	10.49	25.77	70.25	121.2	178	437.6	673	1192
0	0.71	2.5	10.0	29	73	190	547	1111	2224	3252	6000
0	0.61	6.2	24.4	89	232	822	1940	3837	10427	30000	50000
