2	100
4	104
8	110
16	121
32	143
64	165
128	192
256	252

3	116
9	115
27	127
81	142
243	187
729	269
2187	484
6561	955

4	110
16	121
64	143
256	170
1054	275
4096	565
16384	1368
65536	3581

5	116
25	126
125	148
625	220
3125    428
15625  	1132
78125	3356
390625	10490

6	110
36	132
216	170
1296	285
7776	676
46656	2208          
279936	7563
1679616	25771

7	110
49	170
343	193
2401	440
16807	1150
117649	4230
823543	16700
5764801	70250


8	170
64	160
512	220
4096	490
32768	1650
262144	6870
2097152	28940
16777216	121280

9	160
81	170
729	220

